年,月,日,命数1,命数2,命数3
1970,1,1,11,13,18
1970,2,1,50,48,42
1970,3,1,19,15,19
1970,4,1,50,45,44
1970,5,1,20,20,18
1970,6,1,47,45,42
1970,7,1,17,16,16
1970,8,1,48,47,47
1970,9,1,25,27,27
1970,10,1,55,58,51
1970,11,1,26,26,27
1970,12,1,56,60,51
1970,1,2,20,12,16
1970,2,2,49,47,47
1970,3,2,20,16,18
1970,4,2,47,44,42
1970,5,2,17,17,18
1970,6,2,48,46,47
1970,7,2,18,15,17
1970,8,2,55,56,51
1970,9,2,26,28,27
1970,10,2,56,57,51
1970,11,2,23,23,24
1970,12,2,53,57,53
1970,1,3,19,11,17
1970,2,3,58,56,51
1970,3,3,17,13,16
1970,4,3,48,43,47
1970,5,3,18,18,17
1970,6,3,55,53,51
1970,7,3,25,24,27
1970,8,3,56,55,51
1970,9,3,23,25,23
1970,10,3,53,56,53
1970,11,3,24,24,28
1970,12,3,54,58,52
1970,1,4,28,30,27
1970,2,4,57,56,52
1970,3,4,18,14,17
1970,4,4,55,52,51
1970,5,4,25,25,27
1970,6,4,56,54,51
1970,7,4,26,23,27
1970,8,4,53,54,53
1970,9,4,24,26,28
1970,10,4,54,55,52
1970,11,4,21,21,26
1970,12,4,51,55,60
1970,1,5,27,29,27
1970,2,5,56,53,60
1970,3,5,25,21,27
1970,4,5,57,51,52
1970,5,5,28,28,27
1970,6,5,53,51,53
1970,7,5,23,22,23
1970,8,5,54,53,52
1970,9,5,21,23,26
1970,10,5,51,54,60
1970,11,5,22,22,21
1970,12,5,52,56,51
1970,1,6,25,28,26
1970,2,6,55,54,54
1970,3,6,27,22,28
1970,4,6,56,60,60
1970,5,6,26,23,26
1970,6,6,55,52,54
1970,7,6,24,21,28
1970,8,6,51,52,60
1970,9,6,22,24,21
1970,10,6,52,53,51
1970,11,6,29,29,25
1970,12,6,59,53,51
1970,1,7,26,27,24
1970,2,7,54,51,59
1970,3,7,26,29,26
1970,4,7,55,59,54
1970,5,7,25,24,24
1970,6,7,54,59,59
1970,7,7,24,30,25
1970,8,7,52,51,51
1970,9,7,29,21,25
1970,10,7,59,52,51
1970,11,7,30,30,25
1970,12,7,51,54,52
1970,1,8,23,26,25
1970,2,8,53,52,59
1970,3,8,25,30,24
1970,4,8,54,58,59
1970,5,8,24,21,25
1970,6,8,53,60,59
1970,7,8,23,29,25
1970,8,8,52,59,59
1970,9,8,21,22,26
1970,10,8,60,51,51
1970,11,8,30,27,24
1970,12,8,60,51,60
1970,1,9,24,25,25
1970,2,9,52,59,59
1970,3,9,24,27,25
1970,4,9,53,57,59
1970,5,9,23,22,25
1970,6,9,52,57,59
1970,7,9,22,28,29
1970,8,9,51,60,52
1970,9,9,30,29,24
1970,10,9,60,60,59
1970,11,9,29,28,28
1970,12,9,59,52,58
1970,1,10,21,24,29
1970,2,10,51,60,52
1970,3,10,23,28,25
1970,4,10,52,56,59
1970,5,10,22,29,29
1970,6,10,51,58,52
1970,7,10,21,27,26
1970,8,10,60,57,60
1970,9,10,29,30,28
1970,10,10,59,59,58
1970,11,10,38,35,33
1970,12,10,8,9,9
1970,1,11,22,23,26
1970,2,11,60,57,60
1970,3,11,22,25,29
1970,4,11,51,55,52
1970,5,11,21,30,26
1970,6,11,60,55,60
1970,7,11,30,27,24
1970,8,11,59,58,58
1970,9,11,38,37,33
1970,10,11,8,8,9
1970,11,11,37,36,33
1970,12,11,7,10,9
1970,1,12,29,22,24
1970,2,12,59,56,54
1970,3,12,21,26,26
1970,4,12,60,54,60
1970,5,12,30,27,24
1970,6,12,59,56,58
1970,7,12,29,25,28
1970,8,12,8,5,9
1970,9,12,37,38,33
1970,10,12,7,7,9
1970,11,12,36,33,33
1970,12,12,6,7,3
1970,1,13,30,21,28
1970,2,13,8,3,9
1970,3,13,30,23,24
1970,4,13,59,53,54
1970,5,13,29,28,28
1970,6,13,8,3,9
1970,7,13,38,34,33
1970,8,13,7,6,9
1970,9,13,36,35,33
1970,10,13,6,6,3
1970,11,13,35,34,36
1970,12,13,5,8,10
1970,1,14,37,40,33
1970,2,14,3,4,7
1970,3,14,29,24,30
1970,4,14,8,2,9
1970,5,14,38,37,33
1970,6,14,7,4,9
1970,7,14,37,33,33
1970,8,14,6,3,3
1970,9,14,35,36,36
1970,10,14,5,5,10
1970,11,14,34,31,34
1970,12,14,4,5,8
1970,1,15,38,39,33
1970,2,15,2,1,1
1970,3,15,38,31,33
1970,4,15,3,9,7
1970,5,15,37,38,33
1970,6,15,6,1,1
1970,7,15,36,32,37
1970,8,15,5,4,10
1970,9,15,34,33,34
1970,10,15,4,4,8
1970,11,15,33,32,32
1970,12,15,3,6,4
1970,1,16,35,36,37
1970,2,16,1,2,9
1970,3,16,33,32,31
1970,4,16,2,8,1
1970,5,16,32,35,37
1970,6,16,1,2,10
1970,7,16,35,31,36
1970,8,16,4,5,8
1970,9,16,33,34,38
1970,10,16,3,3,2
1970,11,16,32,35,33
1970,12,16,2,3,7
1970,1,17,35,35,36
1970,2,17,1,9,1
1970,3,17,32,40,37
1970,4,17,1,7,9
1970,5,17,31,36,35
1970,6,17,10,2,6
1970,7,17,40,38,40
1970,8,17,3,6,4
1970,9,17,32,31,33
1970,10,17,2,2,7
1970,11,17,31,36,33
1970,12,17,7,4,5
1970,1,18,34,34,40
1970,2,18,2,10,4
1970,3,18,31,39,35
1970,4,18,1,1,2
1970,5,18,40,33,40
1970,6,18,9,1,4
1970,7,18,39,37,38
1970,8,18,8,3,7
1970,9,18,37,32,31
1970,10,18,1,1,7
1970,11,18,36,33,35
1970,12,18,6,2,1
1970,1,19,33,31,38
1970,2,19,9,5,10
1970,3,19,31,38,31
1970,4,19,2,2,4
1970,5,19,32,34,38
1970,6,19,9,10,10
1970,7,19,38,36,34
1970,8,19,7,4,5
1970,9,19,36,40,35
1970,10,19,6,6,1
1970,11,19,35,34,33
1970,12,19,5,1,9
1970,1,20,32,40,34
1970,2,20,10,6,9
1970,3,20,32,37,38
1970,4,20,9,9,10
1970,5,20,39,31,34
1970,6,20,10,9,9
1970,7,20,40,39,39
1970,8,20,6,1,1
1970,9,20,35,39,33
1970,10,20,5,5,9
1970,11,20,44,41,50
1970,12,20,15,20,15
1970,1,21,31,39,39
1970,2,21,7,3,9
1970,3,21,39,36,34
1970,4,21,10,10,9
1970,5,21,40,38,39
1970,6,21,7,8,9
1970,7,21,37,38,35
1970,8,21,8,2,9
1970,9,21,45,48,45
1970,10,21,14,14,13
1970,11,21,46,42,48
1970,12,21,16,19,12
1970,1,22,40,38,33
1970,2,22,8,4,9
1970,3,22,40,35,39
1970,4,22,7,7,9
1970,5,22,37,35,33
1970,6,22,8,7,9
1970,7,22,38,37,33
1970,8,22,15,19,15
1970,9,22,46,47,48
1970,10,22,16,16,12
1970,11,22,43,49,44
1970,12,22,13,18,18
1970,1,23,39,37,33
1970,2,23,15,11,15
1970,3,23,37,34,33
1970,4,23,8,8,9
1970,5,23,38,36,33
1970,6,23,15,16,15
1970,7,23,45,46,45
1970,8,23,16,18,20
1970,9,23,43,46,44
1970,10,23,13,13,18
1970,11,23,44,48,43
1970,12,23,14,17,13
1970,1,24,48,46,45
1970,2,24,16,12,20
1970,3,24,38,33,33
1970,4,24,15,15,16
1970,5,24,45,43,45
1970,6,24,16,15,20
1970,7,24,46,45,44
1970,8,24,13,15,18
1970,9,24,44,45,43
1970,10,24,14,14,13
1970,11,24,41,45,43
1970,12,24,11,16,17
1970,1,25,47,45,44
1970,2,25,13,19,18
1970,3,25,45,42,45
1970,4,25,16,16,20
1970,5,25,46,44,44
1970,6,25,13,14,18
1970,7,25,43,44,44
1970,8,25,14,16,13
1970,9,25,41,44,43
1970,10,25,11,11,17
1970,11,25,42,46,43
1970,12,25,12,15,17
1970,1,26,46,44,44
1970,2,26,14,20,13
1970,3,26,46,41,44
1970,4,26,13,13,18
1970,5,26,43,41,44
1970,6,26,14,13,13
1970,7,26,44,43,43
1970,8,26,11,13,17
1970,9,26,42,43,43
1970,10,26,12,12,17
1970,11,26,49,43,49
1970,12,26,19,14,19
1970,1,27,45,43,43
1970,2,27,11,17,17
1970,3,27,43,50,42
1970,4,27,14,14,13
1970,5,27,44,42,43
1970,6,27,11,20,17
1970,7,27,41,42,43
1970,8,27,12,14,17
1970,9,27,49,42,49
1970,10,27,19,19,20
1970,11,27,50,44,44
1970,12,27,20,13,18
1970,1,28,44,42,43
1970,2,28,12,18,17
1970,3,28,44,49,43
1970,4,28,11,11,17
1970,5,28,41,49,43
1970,6,28,12,19,17
1970,7,28,42,41,43
1970,8,28,19,11,19
1970,9,28,50,41,44
1970,10,28,20,20,18
1970,11,28,47,41,42
1970,12,28,17,12,16
1970,1,29,43,41,43
1970,3,29,41,48,43
1970,4,29,12,12,17
1970,5,29,42,50,43
1970,6,29,19,18,19
1970,7,29,49,50,49
1970,8,29,20,12,18
1970,9,29,47,50,42
1970,10,29,17,17,16
1970,11,29,48,42,47
1970,12,29,18,11,17
1970,1,30,42,50,49
1970,3,30,42,47,43
1970,4,30,19,19,20
1970,5,30,49,47,49
1970,6,30,20,17,18
1970,7,30,50,49,44
1970,8,30,17,19,16
1970,9,30,48,49,47
1970,10,30,18,18,17
1970,11,30,55,59,51
1970,12,30,25,30,27
1970,1,31,41,49,44
1970,3,31,49,46,49
1970,5,31,50,48,44
1970,7,31,47,48,42
1970,8,31,18,20,17
1970,10,31,25,25,27
