年,月,日,命数1,命数2,命数3
1980,1,1,7,1,9
1980,2,1,46,46,45
1980,3,1,10,4,9
1980,4,1,47,42,45
1980,5,1,17,15,15
1980,6,1,48,44,44
1980,7,1,18,13,20
1980,8,1,45,44,42
1980,9,1,16,16,13
1980,10,1,46,45,43
1980,11,1,13,11,17
1980,12,1,43,45,43
1980,1,2,16,20,15
1980,2,2,45,45,44
1980,3,2,17,11,15
1980,4,2,48,41,44
1980,5,2,18,16,20
1980,6,2,45,41,42
1980,7,2,15,12,18
1980,8,2,46,44,43
1980,9,2,13,13,17
1980,10,2,43,44,43
1980,11,2,14,12,17
1980,12,2,44,46,43
1980,1,3,15,19,20
1980,2,3,44,44,42
1980,3,3,18,12,20
1980,4,3,45,50,42
1980,5,3,15,13,18
1980,6,3,46,42,43
1980,7,3,16,11,13
1980,8,3,43,42,43
1980,9,3,14,14,17
1980,10,3,44,43,43
1980,11,3,11,19,19
1980,12,3,41,43,49
1980,1,4,14,18,18
1980,2,4,43,43,44
1980,3,4,15,19,18
1980,4,4,44,49,41
1980,5,4,16,14,13
1980,6,4,43,49,43
1980,7,4,13,20,17
1980,8,4,44,41,43
1980,9,4,11,11,19
1980,10,4,41,42,49
1980,11,4,12,20,18
1980,12,4,42,44,44
1980,1,5,13,17,13
1980,2,5,41,41,42
1980,3,5,14,20,17
1980,4,5,41,48,41
1980,5,5,11,11,12
1980,6,5,42,50,44
1980,7,5,14,19,17
1980,8,5,41,50,49
1980,9,5,12,12,18
1980,10,5,42,41,44
1980,11,5,19,17,16
1980,12,5,49,41,42
1980,1,6,20,16,11
1980,2,6,42,42,44
1980,3,6,11,17,11
1980,4,6,42,47,44
1980,5,6,12,12,18
1980,6,6,49,47,42
1980,7,6,19,17,16
1980,8,6,42,49,44
1980,9,6,19,19,16
1980,10,6,49,50,42
1980,11,6,20,18,17
1980,12,6,50,42,47
1980,1,7,19,15,18
1980,2,7,49,49,42
1980,3,7,12,18,18
1980,4,7,49,46,42
1980,5,7,19,19,16
1980,6,7,50,48,50
1980,7,7,20,17,20
1980,8,7,47,47,41
1980,9,7,18,20,15
1980,10,7,50,49,47
1980,11,7,25,25,26
1980,12,7,55,59,55
1980,1,8,18,14,16
1980,2,8,50,50,49
1980,3,8,19,15,16
1980,4,8,50,45,50
1980,5,8,20,20,19
1980,6,8,47,45,41
1980,7,8,17,16,15
1980,8,8,48,48,41
1980,9,8,25,27,25
1980,10,8,55,58,55
1980,11,8,26,26,28
1980,12,8,56,60,52
1980,1,9,17,13,20
1980,2,9,47,47,41
1980,3,9,20,16,20
1980,4,9,47,44,41
1980,5,9,17,17,15
1980,6,9,48,46,41
1980,7,9,18,15,15
1980,8,9,55,55,56
1980,9,9,26,28,28
1980,10,9,56,57,52
1980,11,9,23,23,26
1980,12,9,53,57,60
1980,1,10,16,12,15
1980,2,10,48,48,41
1980,3,10,17,13,15
1980,4,10,48,43,41
1980,5,10,18,18,15
1980,6,10,55,53,55
1980,7,10,25,24,25
1980,8,10,56,56,52
1980,9,10,23,25,26
1980,10,10,53,56,60
1980,11,10,24,24,23
1980,12,10,54,58,54
1980,1,11,15,11,15
1980,2,11,55,55,56
1980,3,11,18,14,15
1980,4,11,55,52,55
1980,5,11,25,25,26
1980,6,11,56,54,52
1980,7,11,26,23,28
1980,8,11,53,53,60
1980,9,11,24,26,24
1980,10,11,54,55,54
1980,11,11,21,21,25
1980,12,11,51,55,59
1980,1,12,24,30,25
1980,2,12,56,56,52
1980,3,12,25,21,25
1980,4,12,60,51,52
1980,5,12,26,26,28
1980,6,12,53,51,60
1980,7,12,23,22,26
1980,8,12,54,54,53
1980,9,12,21,23,25
1980,10,12,51,54,59
1980,11,12,22,22,25
1980,12,12,52,56,59
1980,1,13,23,29,28
1980,2,13,57,51,60
1980,3,13,30,22,28
1980,4,13,57,60,60
1980,5,13,27,25,26
1980,6,13,58,52,56
1980,7,13,24,21,24
1980,8,13,51,51,59
1980,9,13,22,24,25
1980,10,13,52,53,59
