年,月,日,命数1,命数2,命数3
1950,1,1,34,38,35
1950,2,1,3,3,9
1950,3,1,32,32,35
1950,4,1,9,10,9
1950,5,1,39,33,35
1950,6,1,10,2,9
1950,7,1,40,31,35
1950,8,1,7,2,1
1950,9,1,38,34,36
1950,10,1,8,3,10
1950,11,1,35,39,34
1950,12,1,5,3,8
1950,1,2,33,37,35
1950,2,2,2,2,1
1950,3,2,39,39,35
1950,4,2,10,9,9
1950,5,2,40,34,35
1950,6,2,7,9,1
1950,7,2,37,40,31
1950,8,2,8,1,10
1950,9,2,35,31,34
1950,10,2,5,2,8
1950,11,2,36,40,39
1950,12,2,6,4,9
1950,1,3,32,36,31
1950,2,3,1,1,10
1950,3,3,40,40,35
1950,4,3,7,8,1
1950,5,3,37,31,31
1950,6,3,8,10,10
1950,7,3,38,39,36
1950,8,3,5,10,8
1950,9,3,36,32,39
1950,10,3,6,1,9
1950,11,3,33,37,33
1950,12,3,3,1,9
1950,1,4,31,35,36
1950,2,4,9,9,7
1950,3,4,37,37,31
1950,4,4,8,7,10
1950,5,4,38,32,36
1950,6,4,5,7,8
1950,7,4,35,38,34
1950,8,4,6,9,9
1950,9,4,33,39,33
1950,10,4,3,10,9
1950,11,4,34,38,33
1950,12,4,4,2,9
1950,1,5,40,34,34
1950,2,5,10,10,7
1950,3,5,38,38,36
1950,4,5,9,6,7
1950,5,5,35,39,34
1950,6,5,6,8,9
1950,7,5,36,37,39
1950,8,5,3,8,9
1950,9,5,34,40,33
1950,10,5,4,9,9
1950,11,5,41,45,45
1950,12,5,11,19,15
1950,1,6,33,33,34
1950,2,6,7,7,8
1950,3,6,39,35,33
1950,4,6,10,5,7
1950,5,6,40,40,33
1950,6,6,7,5,7
1950,7,6,33,36,33
1950,8,6,4,7,9
1950,9,6,41,47,45
1950,10,6,11,18,15
1950,11,6,42,46,44
1950,12,6,12,20,20
1950,1,7,32,32,37
1950,2,7,8,8,10
1950,3,7,40,36,33
1950,4,7,7,4,7
1950,5,7,37,37,38
1950,6,7,8,6,10
1950,7,7,34,35,34
1950,8,7,11,16,15
1950,9,7,42,48,44
1950,10,7,12,17,20
1950,11,7,49,43,42
1950,12,7,19,17,18
1950,1,8,31,31,34
1950,2,8,15,15,18
1950,3,8,37,33,37
1950,4,8,8,3,10
1950,5,8,38,38,34
1950,6,8,15,13,18
1950,7,8,45,44,42
1950,8,8,16,16,15
1950,9,8,43,45,41
1950,10,8,19,16,18
1950,11,8,44,44,41
1950,12,8,14,18,17
1950,1,9,50,50,42
1950,2,9,16,16,15
1950,3,9,38,34,34
1950,4,9,15,12,18
1950,5,9,45,45,42
1950,6,9,16,14,16
1950,7,9,46,43,46
