年,月,日,命数1,命数2,命数3
2000,5,21,12,20,17
2000,6,21,49,50,49
2000,7,21,19,20,19
2000,8,21,50,44,46
2000,9,21,17,20,18
2000,10,21,47,47,42
2000,11,21,18,14,17
2000,12,21,48,41,47
2000,1,22,17,11,17
2000,2,22,49,45,49
2000,3,22,12,17,17
2000,4,22,49,49,50
2000,5,22,19,17,19
2000,6,22,50,49,44
2000,7,22,20,19,18
2000,8,22,47,49,42
2000,9,22,18,19,17
2000,10,22,48,48,47
2000,11,22,25,29,27
2000,12,22,55,60,51
2000,1,23,16,20,19
2000,2,23,50,46,44
2000,3,23,19,16,19
2000,4,23,50,50,44
2000,5,23,20,18,18
2000,6,23,47,48,42
2000,7,23,17,18,18
2000,8,23,48,50,47
2000,9,23,25,28,27
2000,10,23,55,55,51
2000,11,23,26,30,27
2000,12,23,56,59,51
2000,1,24,15,19,18
2000,2,24,47,43,42
2000,3,24,20,15,18
2000,4,24,47,47,42
2000,5,24,17,15,18
2000,6,24,48,47,47
2000,7,24,18,17,17
2000,8,24,55,57,51
2000,9,24,26,27,27
2000,10,24,56,56,51
2000,11,24,23,27,23
2000,12,24,53,58,53
2000,1,25,14,18,18
2000,2,25,48,44,47
2000,3,25,17,14,18
2000,4,25,48,48,47
2000,5,25,18,16,17
2000,6,25,55,56,51
2000,7,25,25,26,27
2000,8,25,56,58,51
2000,9,25,23,26,23
2000,10,25,53,53,54
2000,11,25,24,28,28
2000,12,25,54,57,52
2000,1,26,13,17,17
2000,2,26,55,51,51
2000,3,26,18,13,17
2000,4,26,55,55,51
2000,5,26,25,23,27
2000,6,26,56,53,51
2000,7,26,26,25,27
2000,8,26,53,55,53
2000,9,26,24,25,28
2000,10,26,54,54,52
2000,11,26,21,25,26
2000,12,26,51,56,52
2000,1,27,22,26,27
2000,2,27,56,52,51
2000,3,27,25,22,27
2000,4,27,56,56,51
2000,5,27,26,24,27
2000,6,27,53,52,53
2000,7,27,23,24,23
2000,8,27,54,56,52
2000,9,27,21,24,26
2000,10,27,51,51,52
2000,11,27,22,26,21
2000,12,27,52,55,51
2000,1,28,21,25,27
2000,2,28,53,59,53
2000,3,28,26,21,27
2000,4,28,53,53,54
2000,5,28,23,21,23
2000,6,28,54,51,52
2000,7,28,24,23,28
2000,8,28,51,53,60
2000,9,28,22,23,21
2000,10,28,52,52,51
2000,11,28,29,23,25
2000,12,28,59,54,51
2000,1,29,30,24,23
2000,2,29,54,60,52
2000,3,29,23,30,23
2000,4,29,54,54,52
