年,月,日,命数1,命数2,命数3
1960,1,1,25,26,26
1960,2,1,56,51,51
1960,3,1,26,27,26
1960,4,1,55,57,51
1960,5,1,25,22,21
1960,6,1,54,57,51
1960,7,1,24,28,25
1960,8,1,53,59,51
1960,9,1,22,29,27
1960,10,1,52,60,57
1960,11,1,21,28,26
1960,12,1,51,52,52
1960,1,2,26,25,21
1960,2,2,53,60,51
1960,3,2,25,28,21
1960,4,2,54,56,51
1960,5,2,24,29,25
1960,6,2,53,58,51
1960,7,2,23,27,25
1960,8,2,52,58,57
1960,9,2,21,30,26
1960,10,2,51,59,52
1960,11,2,40,35,34
1960,12,2,10,9,10
1960,1,3,23,2,25
1960,2,3,54,59,51
1960,3,3,24,25,25
1960,4,3,53,55,51
1960,5,3,23,30,25
1960,6,3,52,55,57
1960,7,3,22,26,27
1960,8,3,51,57,52
1960,9,3,40,37,34
1960,10,3,10,8,10
1960,11,3,39,36,35
1960,12,3,9,10,5
1960,1,4,24,23,25
1960,2,4,51,58,57
1960,3,4,23,26,25
1960,4,4,52,54,57
1960,5,4,22,27,27
1960,6,4,51,56,52
1960,7,4,21,25,26
1960,8,4,10,6,10
1960,9,4,39,38,35
1960,10,4,9,7,5
1960,11,4,38,33,35
1960,12,4,8,7,9
1960,1,5,21,22,27
1960,2,5,52,58,58
1960,3,5,21,23,24
1960,4,5,52,53,58
1960,5,5,22,28,28
1960,6,5,10,3,10
1960,7,5,40,34,34
1960,8,5,9,5,5
1960,9,5,38,35,35
1960,10,5,8,6,9
1960,11,5,37,34,35
1960,12,5,7,8,9
1960,1,6,28,21,28
1960,2,6,9,5,9
1960,3,6,22,24,28
1960,4,6,9,2,9
1960,5,6,39,35,33
1960,6,6,10,4,9
1960,7,6,39,33,35
1960,8,6,8,4,9
1960,9,6,37,36,35
1960,10,6,7,5,9
1960,11,6,36,31,31
1960,12,6,6,5,1
1960,1,7,35,40,30
1960,2,7,10,6,9
1960,3,7,39,31,33
1960,4,7,10,1,9
1960,5,7,40,36,33
1960,6,7,7,1,3
1960,7,7,37,32,33
1960,8,7,8,4,10
1960,9,7,36,33,31
1960,10,7,6,4,1
1960,11,7,36,32,32
1960,12,7,6,6,2
1960,1,8,36,39,33
1960,2,8,7,3,3
1960,3,8,40,32,33
1960,4,8,7,10,3
1960,5,8,37,33,33
1960,6,8,8,2,10
1960,7,8,38,31,36
1960,8,8,5,1,8
1960,9,8,36,34,32
1960,10,8,6,3,2
1960,11,8,33,39,33
1960,12,8,3,3,7
1960,1,9,33,38,33
1960,2,9,8,4,10
1960,3,9,37,39,33
1960,4,9,7,9,10
1960,5,9,38,34,36
1960,6,9,5,9,8
1960,7,9,35,40,34
1960,8,9,6,2,2
1960,9,9,33,31,33
1960,10,9,3,2,7
1960,11,9,34,40,33
1960,12,9,4,4,7
1960,1,10,34,37,36
1960,2,10,5,1,8
1960,3,10,38,40,36
1960,4,10,5,8,8
1960,5,10,35,31,34
1960,6,10,6,10,2
1960,7,10,36,39,32
1960,8,10,3,9,7
1960,9,10,34,32,33
1960,10,10,4,1,7
1960,11,10,31,37,37
1960,12,10,1,1,7
1960,1,11,31,36,34
1960,2,11,6,2,2
1960,3,11,35,37,34
1960,4,11,6,7,2
1960,5,11,36,32,32
1960,6,11,3,7,7
1960,7,11,33,38,33
1960,8,11,4,10,7
1960,9,11,31,39,37
1960,10,11,1,10,7
1960,11,11,32,38,34
1960,12,11,2,2,10
1960,1,12,32,35,32
1960,2,12,3,9,7
1960,3,12,36,38,32
1960,4,12,3,6,7
1960,5,12,33,39,33
1960,6,12,4,8,7
1960,7,12,34,37,33
1960,8,12,1,7,7
1960,9,12,32,40,34
1960,10,12,2,9,10
1960,11,12,49,45,42
1960,12,12,19,19,18
1960,1,13,39,34,33
1960,2,13,4,8,7
1960,3,13,33,35,33
1960,4,13,4,5,7
1960,5,13,34,32,33
1960,6,13,1,5,7
1960,7,13,31,36,37
1960,8,13,2,8,10
1960,9,13,49,47,42
1960,10,13,19,18,18
1960,11,13,50,46,46
1960,12,13,20,20,16
1960,1,14,36,33,33
1960,2,14,1,5,1
1960,3,14,34,36,33
1960,4,14,1,4,1
1960,5,14,31,39,35
1960,6,14,2,6,10
1960,7,14,32,35,34
1960,8,14,19,15,18
1960,9,14,50,48,46
1960,10,14,20,17,16
1960,11,14,47,43,41
1960,12,14,17,17,18
1960,1,15,33,32,35
1960,2,15,10,6,2
1960,3,15,31,33,35
1960,4,15,2,1,10
1960,5,15,32,40,34
1960,6,15,19,13,18
1960,7,15,49,44,42
1960,8,15,20,20,12
1960,9,15,47,45,41
1960,10,15,17,16,17
1960,11,15,48,50,41
1960,12,15,18,18,17
1960,1,16,34,39,33
1960,2,16,20,13,14
1960,3,16,31,33,33
1960,4,16,20,20,14
1960,5,16,50,47,50
1960,6,16,20,14,12
1960,7,16,50,43,48
1960,8,16,17,17,18
1960,9,16,48,46,41
1960,10,16,18,15,17
1960,11,16,45,47,45
1960,12,16,15,15,19
1960,1,17,41,48,50
1960,2,17,19,14,12
1960,3,17,50,42,50
1960,4,17,19,19,12
1960,5,17,49,48,48
1960,6,17,18,14,18
1960,7,17,47,50,41
1960,8,17,18,18,15
1960,9,17,45,43,45
1960,10,17,15,14,19
1960,11,17,46,48,44
1960,12,17,16,16,18
1960,1,18,42,47,48
1960,2,18,18,11,18
1960,3,18,49,41,48
1960,4,18,18,13,18
1960,5,18,48,45,44
1960,6,18,17,13,15
1960,7,18,47,49,49
1960,8,18,16,15,19
1960,9,18,46,44,44
1960,10,18,16,19,18
1960,11,18,44,45,48
1960,12,18,14,14,13
1960,1,19,49,44,44
1960,2,19,17,12,13
1960,3,19,48,50,44
1960,4,19,17,14,13
1960,5,19,47,46,43
1960,6,19,16,12,19
1960,7,19,46,48,45
1960,8,19,15,16,17
1960,9,19,44,42,48
1960,10,19,14,18,14
1960,11,19,43,46,46
1960,12,19,13,13,12
1960,1,20,50,43,43
1960,2,20,16,17,17
1960,3,20,47,49,43
1960,4,20,16,11,17
1960,5,20,46,49,43
1960,6,20,15,11,17
1960,7,20,45,41,43
1960,8,20,14,13,19
1960,9,20,43,41,46
1960,10,20,13,17,12
1960,11,20,42,43,42
1960,12,20,12,12,18
1960,1,21,45,42,43
1960,2,21,15,18,17
1960,3,21,46,48,43
1960,4,21,15,12,17
1960,5,21,45,50,43
1960,6,21,14,20,19
1960,7,21,44,50,49
1960,8,21,13,14,12
1960,9,21,42,50,42
1960,10,21,12,17,18
1960,11,21,41,44,47
1960,12,21,11,11,17
1960,1,22,46,41,43
1960,2,22,14,15,19
1960,3,22,45,47,43
1960,4,22,14,19,19
1960,5,22,44,47,49
1960,6,22,13,19,18
1960,7,22,43,49,44
1960,8,22,12,19,18
1960,9,22,41,49,47
1960,10,22,11,18,17
1960,11,22,60,59,51
1960,12,22,30,30,27
1960,1,23,43,50,49
1960,2,23,13,16,18
1960,3,23,44,46,49
1960,4,23,13,20,18
1960,5,23,43,48,44
1960,6,23,12,18,18
1960,7,23,42,48,42
1960,8,23,11,20,17
1960,9,23,60,58,51
1960,10,23,30,25,27
1960,11,23,59,60,51
1960,12,23,29,29,27
1960,1,24,44,49,44
1960,2,24,12,13,18
1960,3,24,43,45,44
1960,4,24,12,17,18
1960,5,24,42,45,42
1960,6,24,11,17,17
1960,7,24,41,47,47
1960,8,24,30,27,27
1960,9,24,59,57,51
1960,10,24,29,26,27
1960,11,24,58,57,53
1960,12,24,28,28,23
1960,1,25,41,48,42
1960,2,25,11,14,17
1960,3,25,42,44,42
1960,4,25,11,18,17
1960,5,25,41,46,47
1960,6,25,30,26,27
1960,7,25,60,56,51
1960,8,25,29,28,27
1960,9,25,58,56,53
1960,10,25,28,23,23
1960,11,25,57,58,52
1960,12,25,27,27,28
1960,1,26,42,47,47
1960,2,26,30,21,27
1960,3,26,41,43,47
1960,4,26,30,25,27
1960,5,26,60,53,51
1960,6,26,29,25,27
1960,7,26,59,55,51
1960,8,26,28,25,23
1960,9,26,57,55,52
1960,10,26,27,24,28
1960,11,26,56,55,52
1960,12,26,26,26,25
1960,1,27,59,56,51
1960,2,27,29,22,27
1960,3,27,60,52,51
1960,4,27,29,26,27
1960,5,27,59,54,51
1960,6,27,28,22,23
1960,7,27,58,54,53
1960,8,27,27,26,28
1960,9,27,56,54,52
1960,10,27,26,21,26
1960,11,27,55,56,51
1960,12,27,25,25,21
1960,1,28,60,55,51
1960,2,28,28,29,23
1960,3,28,59,51,51
1960,4,28,28,23,23
1960,5,28,58,51,53
1960,6,28,27,21,28
1960,7,28,57,53,52
1960,8,28,26,23,26
1960,9,28,55,53,51
1960,10,28,26,22,21
1960,11,28,54,53,51
1960,12,28,24,24,25
1960,1,29,57,54,53
1960,2,29,27,30,28
1960,3,29,58,60,53
1960,4,29,27,24,28
1960,5,29,57,52,52
1960,6,29,26,30,26
1960,7,29,56,52,59
1960,8,29,25,24,21
1960,9,29,54,52,51
1960,10,29,24,29,25
1960,11,29,53,54,51
1960,12,29,23,23,25
1960,1,30,58,53,52
1960,3,30,57,59,52
1960,4,30,26,21,26
1960,5,30,56,59,60
1960,6,30,25,29,21
1960,7,30,55,51,51
1960,8,30,24,21,25
1960,9,30,53,51,51
1960,10,30,23,30,25
1960,11,30,52,51,57
1960,12,30,22,22,27
1960,1,31,55,52,60
1960,3,31,56,58,60
1960,5,31,55,60,51
1960,7,31,54,60,51
1960,8,31,23,22,25
1960,10,31,22,27,27
1960,12,31,21,21,26
1961,1,1,40,40,34
1961,2,1,9,5,5
1961,3,1,27,24,26
1961,4,1,6,2,10
1961,5,1,36,35,34
1961,6,1,5,4,5
1961,7,1,35,33,35
1961,8,1,4,4,9
1961,9,1,33,36,35
1961,10,1,3,5,9
1961,11,1,32,31,31
1961,12,1,2,5,1
1961,1,2,39,39,35
1961,2,2,8,4,9
1961,3,2,36,31,34
1961,4,2,5,1,5
1961,5,2,35,36,35
1961,6,2,4,1,9
1961,7,2,34,32,35
1961,8,2,3,3,9
1961,9,2,32,33,31
1961,10,2,2,4,1
1961,11,2,31,32,36
1961,12,2,1,6,9
1961,1,3,38,38,35
1961,2,3,7,3,9
1961,3,3,35,32,35
1961,4,3,4,10,9
1961,5,3,34,33,35
1961,6,3,3,2,9
1961,7,3,33,31,35
1961,8,3,2,2,1
1961,9,3,31,34,36
1961,10,3,1,3,10
1961,11,3,40,39,34
1961,12,3,10,3,8
1961,1,4,37,37,35
1961,2,4,6,1,8
1961,3,4,34,39,35
1961,4,4,3,9,9
1961,5,4,33,34,35
1961,6,4,2,9,1
1961,7,4,32,40,31
1961,8,4,1,1,10
1961,9,4,40,31,34
1961,10,4,10,2,8
1961,11,4,39,40,39
1961,12,4,9,4,9
1961,1,5,35,36,34
1961,2,5,5,2,2
